Customer_Id,Product_Id,Transaction Type,Category,Amount (In Dollars),Purchase_Date,Payment Mode,Merchant Name,Location,Transaction Status,Tax Amount,Discount Applied,Transaction Approval Status,Customer Segment
4024,232,IRA Contribution,Bank CD,4768141,10/19/2023,Affirm,"Woods, Anderson and Johnson","Mitchellberg, Iraq",In Progress,476814.1,0,Pending,Corporate
4025,299,Mortgage Payment,Home Loan Repayment,4771742,02/20/2024,Net Banking,Bauer-Sheppard,"Isaiahberg, Mauritius",Pending,477174.2,0,Pending,Corporate
4026,288,Cloud Services Fees,Car Loan,9007385,02/19/2025,Affirm,Martin-Moore,"Amyhaven, Lebanon",In Progress,900738.5,0,Pending,Individual
4027,204,Supplier Payments,International Business Trip,8091384,11/17/2023,ACH Debit,Lang-Wright,"Lake Steven, Croatia",Completed,809138.4,0,Approved,Corporate
4028,235,Marketing Promotions,Organic Seeds and Materials,2380282,05/28/2024,Amex Platinum,Hernandez-Allen,"Marilynberg, Swaziland",Pending,238028.2,0,Pending,Enterprise
4029,275,Fixed Deposit,Bank CD,3557439,06/21/2023,Corporate Card,"Boyer, White and Brock","Wisebury, Sweden",Approved,355743.9,177871.95,Approved,Enterprise
4030,221,Retail Space Lease,Branding and Social Media Ads,3897600,05/18/2024,Amex Platinum,"Kirk, Cummings and Mitchell","Lake Jamesside, Sierra Leone",Completed,389760,0,Approved,Individual
4031,292,Supplier Payments,New York to Tokyo,7042257,11/20/2024,Wire Transfer,Williams-Blankenship,"Port Curtismouth, Lebanon",Pending,704225.7,0,Pending,Enterprise
4032,209,Luxury Shopping,Gucci,9385760,09/02/2023,Auto Debit,Ford-Armstrong,"New John, American Samoa",Completed,938576,0,Approved,Enterprise
4033,205,E-Commerce Tech Investment,Gucci,4267822,08/08/2024,Bank Wire,"Perry, Davis and Howard","Lake Patriciaborough, Rwanda",Pending,426782.2,0,Pending,Small Business
4034,200,Travel Booking,Gucci,3537913,01/07/2025,Net Banking,"Clayton, Olson and Roberts","New Cameronberg, Spain",Processing,353791.3,0,Pending,Individual
4035,216,Fabric Procurement,Costco,9517188,12/08/2024,Auto Debit,Velasquez-Dawson,"Velezmouth, Canada",Processing,951718.8,475859.4,Pending,Enterprise
4036,228,BNPL Purchase,International Business Trip,3990207,09/26/2023,Amex Platinum,Woods-Clark,"Lambertburgh, Australia",In Progress,399020.7,0,Pending,Individual
4037,245,Grocery Shopping,Italian Silk & Cashmere,187002,08/16/2024,Bank Wire,Mccoy-Adams,"Port Troychester, Vietnam",Processing,18700.2,9350.1,Pending,Individual
4038,291,Research & Development,AWS and Microsoft Azure,8809912,04/17/2023,Bank Wire,Nelson-Myers,"Port Dianetown, Romania",Processing,880991.2,440495.6,Pending,Individual
4039,236,Travel Booking,Vanguard,6115490,01/25/2025,ACH Debit,King-Jones,"Russelltown, Thailand",Completed,611549,0,Approved,Enterprise
4040,214,BNPL Purchase,Costco,4136555,09/11/2023,ACH Debit,Chandler-Johnson,"South Adambury, Iceland",Processing,413655.5,206827.75,Pending,Corporate
4041,284,Travel Booking,AI-Powered Personalization,909198,09/30/2024,Bank Wire,"Cardenas, Aguirre and Spencer","West Danielle, Togo",Completed,90919.8,0,Approved,Small Business
4042,268,Loan EMI,New Flagship Store,2634827,09/30/2023,ACH Debit,"Boyd, Gonzalez and Carroll","North Amanda, Reunion",Processing,263482.7,0,Pending,Enterprise
4043,285,Marketing Promotions,Italian Silk & Cashmere,4550963,09/09/2024,Net Banking,Snyder and Sons,"Blevinsside, Mongolia",Pending,455096.3,227548.15,Pending,Corporate
4044,237,Travel Booking,PlayStation,2845664,11/13/2024,Amex Platinum,Christensen-Garrett,"New Brianland, Slovenia",Pending,284566.4,0,Pending,Corporate
4045,271,Loan EMI,Italian Silk & Cashmere,2124721,03/05/2025,Corporate Card,Glover-Morrison,"North Benjamin, Papua New Guinea",Pending,212472.1,0,Pending,Corporate
4046,271,Cloud Services Fees,Hedge Fund,9796842,08/09/2024,Amex Platinum,Boyle PLC,"Port Carolineland, Jersey",Processing,979684.2,0,Pending,Corporate
4047,223,Marketing Promotions,Italian Silk & Cashmere,3756674,02/16/2024,Chase Sapphire Travel Card,Mitchell LLC,"Lake David, Finland",Approved,375667.4,0,Approved,Individual
4048,300,Research & Development,AWS and Microsoft Azure,9901583,04/23/2024,ACH Debit,Lee-Perez,"Lake Marissaland, Macao",Completed,990158.3,0,Approved,Small Business
4049,204,Retail Space Lease,Gucci,9396089,07/06/2023,Amex Platinum,Thompson-Cox,"Port Ana, Liechtenstein",In Progress,939608.9,0,Pending,Individual
4050,271,Flight Booking,Organic Seeds and Materials,9075032,05/12/2024,Auto Debit,Schmidt-Holland,"Jonathanside, Denmark",Processing,907503.2,0,Pending,Corporate
4051,268,Flight Booking,International Business Trip,6864117,03/07/2025,Corporate Card,"Poole, Pearson and Miller","Whitakermouth, Solomon Islands",In Progress,686411.7,0,Pending,Small Business
4052,269,E-Commerce Tech Investment,Sustainable Fabric Innovations,3954462,05/18/2024,Debit Card,"Watts, Ramos and Lindsey","New Michelle, Qatar",In Progress,395446.2,0,Pending,Enterprise
4053,207,BNPL Purchase,Bank CD,3209049,03/08/2024,Business Loan,Hanson-Parrish,"West Julie, Oman",Processing,320904.9,160452.45,Pending,Enterprise
4054,230,Flight Booking,AI-Powered E-commerce Platform,6625011,02/26/2024,Corporate Card,"Hudson, Rivera and Morales","Martinstad, Somalia",Approved,662501.1,0,Approved,Small Business
4055,292,Stock Investment,Hedge Fund,899481,08/21/2023,Bank Wire,Nguyen-Thompson,"Port Bridgettown, Tunisia",In Progress,89948.1,0,Pending,Enterprise
4056,233,Loan EMI,Hedge Fund,931060,12/28/2024,Business Loan,"Schmitt, Delgado and Williams","Rebeccashire, Cayman Islands",Approved,93106,0,Approved,Corporate
4057,229,Fabric Procurement,Organic Seeds and Materials,1460430,03/21/2024,Credit Card,Perry Ltd,"Sarahtown, Macao",Completed,146043,0,Approved,Enterprise
4058,282,Fabric Procurement,Branding and Social Media Ads,4969361,12/22/2023,Credit Card,Smith-Hill,"Lake Allisonport, Switzerland",Processing,496936.1,0,Pending,Individual
4059,261,E-Commerce Tech Investment,Gucci,1461518,11/13/2024,Affirm,"Thornton, Hopkins and Wells","New Misty, United Arab Emirates",Approved,146151.8,0,Approved,Individual
4060,267,Luxury Shopping,New Flagship Store,1835972,10/31/2023,Net Banking,Olson PLC,"Port Shawn, United States Minor Outlying Islands",Approved,183597.2,0,Approved,Corporate
4061,221,Grocery Shopping,Home Loan Repayment,5192251,08/15/2024,Amex Platinum,"Kelley, Crawford and Cain","Arnoldfurt, Saint Martin",In Progress,519225.1,259612.55,Pending,Small Business
4062,264,Stock Investment,AWS and Microsoft Azure,6865541,12/30/2023,Affirm,Alexander-Ellis,"Mcclureville, Antigua and Barbuda",Approved,686554.1,0,Approved,Individual
4063,205,IRA Contribution,AI-Powered E-commerce Platform,8103237,12/04/2024,Wire Transfer,Adkins Group,"South Shannonfurt, Vietnam",In Progress,810323.7,0,Pending,Small Business
4064,280,BNPL Purchase,New Flagship Store,6497408,07/26/2023,Wire Transfer,"Torres, Hughes and Young","Robertville, Azerbaijan",Pending,649740.8,324870.4,Pending,Enterprise
4065,291,IRA Contribution,International Business Trip,4795800,07/28/2023,Corporate Card,Armstrong and Sons,"Joshuaburgh, Greenland",Completed,479580,0,Approved,Individual
4066,260,Luxury Shopping,Hedge Fund,4022334,07/28/2024,Net Banking,"Hoffman, Zavala and Green","Schmidtmouth, Ghana",In Progress,402233.4,0,Pending,Corporate
4067,272,Technology Investment,Italian Silk & Cashmere,5012895,11/10/2024,Corporate Card,Bates-Trujillo,"New Jonathonfort, Belize",Processing,501289.5,0,Pending,Small Business
4068,234,BNPL Purchase,Costco,1813038,02/19/2024,ACH Debit,Howard-Hill,"Lake Karen, San Marino",In Progress,181303.8,0,Pending,Individual
4069,292,Investment Contribution,Equity,1515097,09/22/2023,Bank Wire,Hicks PLC,"Lisafurt, Central African Republic",Processing,151509.7,0,Pending,Small Business
4070,294,E-Commerce Tech Investment,Organic Seeds and Materials,3800833,03/29/2023,Bank Wire,Vazquez Group,"Michaelton, Australia",Processing,380083.3,0,Pending,Enterprise
4071,217,Supplier Payments,International Business Trip,1750620,07/15/2023,Wire Transfer,Anderson-Pruitt,"Rachelview, Antarctica (the territory South of 60 deg S)",Processing,175062,0,Pending,Small Business
4072,202,Loan EMI,Branding and Social Media Ads,7952717,11/17/2023,Corporate Card,"Green, Mason and Salazar","Waltonland, Andorra",Completed,795271.7,0,Approved,Individual
4073,291,Grocery Shopping,International Business Trip,8497623,08/25/2023,Affirm,Williams Ltd,"Port Jacobfort, Micronesia",Completed,849762.3,424881.15,Approved,Small Business
4074,283,Grocery Shopping,Home Loan Repayment,530602,09/17/2023,Business Loan,"Doyle, Hawkins and Christensen","Port Sarahmouth, French Southern Territories",In Progress,53060.2,26530.1,Pending,Individual
4075,271,Technology Investment,Bank CD,8690684,11/10/2024,Debit Card,"Harvey, Guzman and Stone","East Davidton, Montenegro",Completed,869068.4,0,Approved,Enterprise
4076,250,Stock Investment,Branding and Social Media Ads,7159081,04/11/2024,ACH Debit,Davis Group,"Lake Lisa, Nigeria",Pending,715908.1,357954.05,Pending,Small Business
4077,247,Expansion Loan,New York to Tokyo,5937055,04/20/2024,Net Banking,Jones LLC,"Cherylton, French Guiana",In Progress,593705.5,0,Pending,Corporate
4078,239,Mortgage Payment,New Flagship Store,7592215,02/14/2024,Chase Sapphire Travel Card,Hoffman-Adams,"North Justin, Burkina Faso",In Progress,759221.5,0,Pending,Individual
4079,237,Marketing Promotions,AWS and Microsoft Azure,153463,10/01/2024,Business Loan,Hicks PLC,"South Daniel, Mongolia",Processing,15346.3,0,Pending,Corporate
4080,237,BNPL Purchase,Italian Silk & Cashmere,8605167,07/24/2023,Wire Transfer,"Gray, Fry and Gilbert","West Keithstad, Tuvalu",In Progress,860516.7,0,Pending,Individual
4081,267,IRA Contribution,Branding and Social Media Ads,2409840,11/18/2024,Bank Wire,"Olson, Osborne and Zimmerman","Schmidtmouth, United States Virgin Islands",Approved,240984,0,Approved,Enterprise
4082,222,Mortgage Payment,AWS and Microsoft Azure,2641938,06/04/2024,Net Banking,Carter Group,"Port Jonathan, Bolivia",Pending,264193.8,132096.9,Pending,Corporate
4083,249,Research & Development,Italian Silk & Cashmere,3937398,05/16/2023,Credit Card,Anderson Group,"Lake Andrehaven, Norway",In Progress,393739.8,196869.9,Pending,Enterprise
4084,205,Travel Booking,Italian Silk & Cashmere,6192422,05/10/2023,Chase Sapphire Travel Card,Jefferson and Sons,"Cherylbury, Austria",Processing,619242.2,0,Pending,Small Business
4085,242,Flight Booking,Sustainable Fabric Innovations,7306431,11/11/2023,Debit Card,"Knox, Glenn and King","New Cindytown, Luxembourg",Completed,730643.1,365321.55,Approved,Enterprise
4086,259,IRA Contribution,International Business Trip,3279047,09/27/2023,Credit Card,Vazquez Ltd,"Jennifermouth, Serbia",Processing,327904.7,163952.35,Pending,Enterprise
4087,217,Loan EMI,AI-Powered E-commerce Platform,1827944,07/18/2023,Amex Platinum,Moore LLC,"Lake Marcusbury, Sao Tome and Principe",Pending,182794.4,0,Pending,Enterprise
4088,225,Technology Investment,Gucci,3253286,02/26/2025,ACH Debit,Hart-Pena,"Johntown, Brazil",In Progress,325328.6,0,Pending,Corporate
4089,283,Fabric Procurement,Gucci,2623284,01/23/2024,Auto Debit,"Robinson, Miller and Johnson","Loriland, Lebanon",In Progress,262328.4,131164.2,Pending,Small Business
4090,253,Research & Development,New Flagship Stores,3207256,12/31/2023,Auto Debit,"Newman, Montgomery and Newman","Ashleyville, Micronesia",Approved,320725.6,0,Approved,Small Business
4091,226,Technology Investment,Branding and Social Media Ads,5223529,03/23/2023,Affirm,"Grimes, Chavez and Holmes","West Christine, Congo",Approved,522352.9,0,Approved,Individual
4092,218,Investment Contribution,Home Loan Repayment,8724188,12/07/2024,Affirm,Chang-Mcbride,"Lake Michellebury, Holy See (Vatican City State)",Approved,872418.8,0,Approved,Corporate
4093,269,Travel Booking,Hedge Fund,6063842,09/17/2024,Debit Card,Burton Group,"West Kristen, Palestinian Territory",In Progress,606384.2,0,Pending,Small Business
4094,227,Fabric Procurement,New Flagship Stores,1634951,10/31/2023,Business Loan,Soto-Murray,"Port Brianmouth, Lebanon",Completed,163495.1,0,Approved,Enterprise
4095,292,Supplier Payments,New Flagship Stores,6268166,06/27/2024,ACH Debit,Glover and Sons,"Catherineville, Pitcairn Islands",Processing,626816.6,0,Pending,Enterprise
4096,206,Mortgage Payment,International Business Trip,5902733,03/09/2024,Bank Wire,Gibson-Rice,"Marthatown, Cote d'Ivoire",In Progress,590273.3,0,Pending,Small Business
4097,210,Flight Booking,New Flagship Stores,5212857,04/05/2023,Debit Card,Mcdaniel-Nguyen,"North Feliciahaven, Holy See (Vatican City State)",Approved,521285.7,0,Approved,Individual
4098,208,Research & Development,Hedge Fund,3034451,12/27/2023,Business Loan,Mccormick Inc,"New Cameronmouth, Monaco",In Progress,303445.1,0,Pending,Corporate
4099,243,Stock Investment,Gucci,780275,05/25/2024,Wire Transfer,"Lewis, Elliott and Taylor","Walkershire, Albania",Processing,78027.5,0,Pending,Enterprise
4100,240,E-Commerce Tech Investment,Vanguard,9333387,06/01/2024,Auto Debit,"Cole, Thompson and Hall","East Amyborough, Ireland",In Progress,933338.7,466669.35,Pending,Individual
4101,226,Mortgage Payment,Hedge Fund,5026520,09/09/2024,Chase Sapphire Travel Card,"Fisher, Mccoy and Vargas","New Adam, United States Virgin Islands",Pending,502652,0,Pending,Small Business
4102,248,Marketing Promotions,Car Loan,3885698,01/20/2024,Corporate Card,"Stanton, Warner and Bell","Lake James, Morocco",In Progress,388569.8,194284.9,Pending,Individual
4103,226,Mortgage Payment,New Flagship Stores,6768340,09/14/2023,ACH Debit,Hunter-Mercado,"East Michellemouth, Saint Helena",Processing,676834,0,Pending,Enterprise
4104,244,Research & Development,Bank CD,5692395,01/08/2025,ACH Debit,Hester PLC,"North Miamouth, Rwanda",Pending,569239.5,0,Pending,Enterprise
4105,210,Mortgage Payment,Sustainable Fabric Innovations,9264924,08/17/2023,Corporate Card,White Group,"South Ruben, Mali",In Progress,926492.4,463246.2,Pending,Corporate
4106,233,Fabric Procurement,International Business Trip,5578827,07/04/2024,Credit Card,Alvarez Group,"Saratown, Sao Tome and Principe",Completed,557882.7,278941.35,Approved,Small Business
4107,271,Research & Development,Branding and Social Media Ads,8754103,12/15/2024,Bank Wire,"Moore, Reyes and Smith","South Kyle, Nepal",Pending,875410.3,0,Pending,Individual
4108,293,Marketing Promotions,Organic Seeds and Materials,548313,11/07/2023,Corporate Card,Conley Group,"Lake Nicholas, Indonesia",In Progress,54831.3,0,Pending,Small Business
4109,252,Supplier Payments,Costco,9490241,02/25/2025,Corporate Card,Jones PLC,"Davisborough, Nauru",Processing,949024.1,0,Pending,Small Business
4110,254,IRA Contribution,Sustainable Fabric Innovations,7034390,05/31/2024,Auto Debit,"Williams, Thomas and Burke","Dannystad, Libyan Arab Jamahiriya",Processing,703439,0,Pending,Enterprise
4111,237,Investment Contribution,AI-Powered Personalization,1273547,05/06/2024,ACH Debit,Gibson and Sons,"New Matthewstad, Iceland",Approved,127354.7,0,Approved,Corporate
4112,264,Travel Booking,AI-Powered Personalization,9523234,05/21/2024,Chase Sapphire Travel Card,"Martinez, Green and Waller","Rogersmouth, Azerbaijan",Processing,952323.4,0,Pending,Enterprise
4113,225,Stock Investment,AI-Powered Personalization,9672996,10/28/2024,Business Loan,Anderson LLC,"Cooperfurt, Central African Republic",Processing,967299.6,0,Pending,Individual
4114,265,Marketing Promotions,Home Loan Repayment,4471628,08/07/2024,Business Loan,"Cochran, Williams and Tate","Perkinston, Sudan",Processing,447162.8,0,Pending,Enterprise
4115,210,Fabric Procurement,Branding and Social Media Ads,5440484,08/09/2024,Business Loan,White and Sons,"Scottborough, Denmark",Completed,544048.4,0,Approved,Individual
4116,216,Mortgage Payment,Italian Silk & Cashmere,2244071,09/20/2023,Wire Transfer,"Rhodes, Lambert and Vargas","Michelleport, Palestinian Territory",Completed,224407.1,0,Approved,Corporate
4117,205,Grocery Shopping,Vanguard,7649824,01/30/2024,Debit Card,Brown-Hall,"West Williamside, Mali",Pending,764982.4,382491.2,Pending,Small Business
4118,280,Technology Investment,PlayStation,5221959,01/24/2025,Debit Card,Figueroa PLC,"East Michelleburgh, Turkey",Pending,522195.9,261097.95,Pending,Individual
4119,225,IRA Contribution,Organic Seeds and Materials,9295967,08/12/2024,Corporate Card,Turner LLC,"Jessicatown, Guatemala",Approved,929596.7,0,Approved,Individual
4120,205,Research & Development,Equity,5632600,12/23/2023,Debit Card,White-Williams,"Jamieside, New Zealand",Completed,563260,281630,Approved,Small Business
4121,243,Grocery Shopping,Branding and Social Media Ads,6643883,04/30/2023,Net Banking,White-Rose,"New Jennifershire, Mozambique",Completed,664388.3,0,Approved,Enterprise
4122,225,Marketing Promotions,Vanguard,6772822,05/19/2024,Business Loan,Woods-Ayala,"Brianborough, Turks and Caicos Islands",Processing,677282.2,0,Pending,Individual
4123,217,IRA Contribution,Costco,8534806,05/06/2024,Chase Sapphire Travel Card,"Anderson, Joseph and Santana","Davidview, Cambodia",Approved,853480.6,0,Approved,Corporate
4124,218,Supplier Payments,Home Loan Repayment,6989905,05/29/2023,Auto Debit,Owen-Vasquez,"South Jaime, Cuba",In Progress,698990.5,0,Pending,Enterprise
4125,300,Loan EMI,Equity,61146,10/23/2023,Credit Card,"Brown, Jennings and Sullivan","New Patrickberg, Iceland",In Progress,6114.6,3057.3,Pending,Small Business
4126,273,E-Commerce Tech Investment,Home Loan Repayment,1107485,05/16/2023,ACH Debit,"Johnson, Spencer and George","Gomeztown, Malta",Completed,110748.5,0,Approved,Individual
4127,242,Research & Development,Sustainable Fabric Innovations,7396302,10/11/2023,ACH Debit,Stevenson LLC,"Lake Victoriafort, Maldives",Pending,739630.2,0,Pending,Corporate
4128,215,Expansion Loan,Sustainable Fabric Innovations,675605,02/05/2024,Credit Card,Haney-Levy,"Stevensborough, Rwanda",Completed,67560.5,0,Approved,Individual
4129,240,Technology Investment,Branding and Social Media Ads,2285582,07/14/2023,Credit Card,Medina-Jones,"Jerryberg, Swaziland",In Progress,228558.2,114279.1,Pending,Enterprise
4130,278,Fabric Procurement,Organic Seeds and Materials,7068083,09/07/2023,Chase Sapphire Travel Card,Reeves-Mcguire,"New William, Armenia",Approved,706808.3,0,Approved,Corporate
4131,300,Flight Booking,New Flagship Stores,7426951,10/07/2023,Auto Debit,Middleton PLC,"Lake Natashafort, Burundi",In Progress,742695.1,0,Pending,Individual
4132,290,Grocery Shopping,New York to Tokyo,9438464,01/30/2024,Corporate Card,"Parrish, Conley and Hall","South Martha, Lebanon",Processing,943846.4,0,Pending,Corporate
4133,268,BNPL Purchase,Branding and Social Media Ads,3549433,03/23/2024,Corporate Card,Parsons and Sons,"Joneschester, Turkmenistan",Processing,354943.3,0,Pending,Corporate
4134,224,Marketing Promotions,New Flagship Stores,7058364,01/18/2024,Chase Sapphire Travel Card,Howard-Hart,"West Sara, Guinea-Bissau",In Progress,705836.4,352918.2,Pending,Small Business
4135,224,E-Commerce Tech Investment,PlayStation,6519398,11/23/2024,Auto Debit,Thompson-Watson,"Weissfort, Uganda",In Progress,651939.8,325969.9,Pending,Individual
4136,292,Travel Booking,New York to Tokyo,3601563,07/05/2023,Net Banking,"Soto, Roach and Jones","Natashaport, Cocos (Keeling) Islands",In Progress,360156.3,0,Pending,Small Business
4137,255,Research & Development,New York to Tokyo,6693286,12/31/2023,Bank Wire,Hampton-Foster,"Riverastad, Iceland",Processing,669328.6,0,Pending,Small Business
4138,224,Investment Contribution,Italian Silk & Cashmere,6005374,10/05/2024,Wire Transfer,Duncan-Abbott,"Port Amber, Antarctica (the territory South of 60 deg S)",In Progress,600537.4,300268.7,Pending,Corporate
4139,250,Stock Investment,Sustainable Fabric Innovations,503151,09/08/2023,Credit Card,Lopez-Weaver,"Ramosview, Latvia",In Progress,50315.1,25157.55,Pending,Enterprise
4140,266,Retail Space Lease,International Business Trip,7137345,05/20/2024,Amex Platinum,Hardin-Newman,"Nicholasville, Kuwait",In Progress,713734.5,356867.25,Pending,Individual
4141,262,Mortgage Payment,New Flagship Stores,9324097,10/19/2023,Chase Sapphire Travel Card,Dominguez Ltd,"Davidsonburgh, Spain",Pending,932409.7,0,Pending,Individual
4142,291,Retail Space Lease,Bank CD,18040,05/22/2024,ACH Debit,"Fisher, Green and Adams","Carlland, Guam",In Progress,1804,0,Pending,Small Business
4143,300,Research & Development,New York to Tokyo,3348509,07/14/2024,Auto Debit,"Davis, Scott and Phillips","Lake Brent, Netherlands Antilles",Pending,334850.9,0,Pending,Enterprise
4144,292,Loan EMI,AWS and Microsoft Azure,48547,04/04/2023,Net Banking,"Romero, Dillon and Gonzales","Lake Natasha, Algeria",Pending,4854.7,0,Pending,Individual
4145,256,Luxury Shopping,AWS and Microsoft Azure,1821756,07/15/2024,Debit Card,Marshall and Sons,"Lake Samantha, Isle of Man",Completed,182175.6,0,Approved,Enterprise
4146,266,Supplier Payments,Vanguard,3767214,09/09/2023,Corporate Card,Austin-Cherry,"Wendyside, Malta",Processing,376721.4,0,Pending,Individual
4147,283,Research & Development,Branding and Social Media Ads,7576324,08/04/2023,Net Banking,Solis-Kim,"East Donna, British Virgin Islands",Completed,757632.4,0,Approved,Individual
4148,240,Fabric Procurement,Costco,8576130,09/18/2023,Chase Sapphire Travel Card,Jones LLC,"Port Davidhaven, Sierra Leone",In Progress,857613,0,Pending,Corporate
4149,275,Grocery Shopping,Gucci,7904473,08/29/2024,Net Banking,"Lewis, Padilla and Patel","Joshuaport, British Indian Ocean Territory (Chagos Archipelago)",Approved,790447.3,0,Approved,Individual
4150,275,Retail Space Lease,Italian Silk & Cashmere,5693227,06/13/2024,Net Banking,"Wilkinson, Jones and Hill","East Jamesburgh, Comoros",Processing,569322.7,0,Pending,Enterprise
4151,224,Fabric Procurement,Home Loan Repayment,5769477,04/23/2023,ACH Debit,Hahn LLC,"South Danielberg, Seychelles",Completed,576947.7,288473.85,Approved,Enterprise
4152,238,E-Commerce Tech Investment,Sustainable Fabric Innovations,1745450,11/13/2024,ACH Debit,Miranda-Price,"Guymouth, Sao Tome and Principe",Processing,174545,0,Pending,Enterprise
4153,241,Marketing Promotions,Vanguard,4574650,05/06/2024,ACH Debit,Gordon-Barron,"Lake Katieview, Costa Rica",Pending,457465,228732.5,Pending,Corporate
4154,208,Cloud Services Fees,New Flagship Store,3875096,08/03/2023,Corporate Card,"Miller, Shaffer and Pace","East Susan, Latvia",Approved,387509.6,193754.8,Approved,Corporate
4155,275,Cloud Services Fees,AI-Powered E-commerce Platform,7125219,11/25/2024,Debit Card,Cunningham-Winters,"Jeanettebury, French Guiana",Pending,712521.9,356260.95,Pending,Enterprise
4156,253,E-Commerce Tech Investment,AI-Powered Personalization,5258600,06/09/2023,Net Banking,Boyd Ltd,"Raymouth, Paraguay",In Progress,525860,0,Pending,Small Business
4157,254,Loan EMI,AWS and Microsoft Azure,5760369,09/15/2024,Corporate Card,Tran and Sons,"East Christopherborough, Colombia",Processing,576036.9,0,Pending,Individual
4158,270,Expansion Loan,New York to Tokyo,7867258,04/19/2024,ACH Debit,Mills Ltd,"Lake Kevinside, India",Pending,786725.8,0,Pending,Enterprise
4159,235,Supplier Payments,New Flagship Store,1320164,11/26/2023,Net Banking,"Wright, Smith and Moore","Hoffmanmouth, Anguilla",In Progress,132016.4,66008.2,Pending,Corporate
